Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Q9UP52,2,0.000109733,2.29E-07,0.224203139,5.19E-05
Q6UX15,5,0.000274333,5.44E-07,0.222452106,8.04E-05
Q6UX27,27,0.0014814,0.000201078,0.256895128,0.000664392
Q9H8J5,2,0.000109733,4.43E-10,0.20365192,1.70E-05
Q9NXB0,2,0.000109733,4.08E-06,0.219916143,4.84E-05
Q6UXE8,1,5.49E-05,0,0.18114288,7.25E-07
Q6UX46,1,5.49E-05,0,0.190515793,1.10E-06
Q69YW2,1,5.49E-05,0,0.220501114,4.07E-05
Q6UXG2,9,0.0004938,7.07E-06,0.277239566,0.00357257
Q6UXG8,16,0.000877867,6.02E-05,0.24958018,0.000391455
Q14507,2,0.000109733,5.86E-10,0.199007325,9.91E-06
Q6UXH0,1,5.49E-05,0,0.227285457,0.000111205
